player_id,nickname
66,K. Sigþórsson
102,Marcelo
118,M. Depay
123,O. Toivonen
132,T. Kongolo
382,Suk Hyun-Jun
1712,K. Tete
1751,O. Tannane
3276,A. Rami
3308,Pedro Mendes
3314,Á. di María
3315,L. Diarra
3334,Dani Alves
3450,R. Falcao
3573,J. Toulalan
3803,Sergi Darder
4452,Yuri Berchiche
4786,Iván Balliu
5167,Mariano Díaz
7915,P. Evra
7920,Rafael
7986,M. Abeid
8268,B. Assou-Ekotto
8326,M. Balotelli
8533,S. Sessègnon
8899,A. Kačaniklić
14717,D. Contento
14722,Luiz Gustavo
14801,N. Subotić
14862,J. Draxler
14913,D. Benaglio
14945,G. Sio
14990,F. Diagne
15004,I. Santini
15010,Dante
15062,K. Trapp
20394,Thiago Silva
20531,W. Sneijder
20677,A. Raggi
20685,R. Krhin
20948,S. Jovetić
21097,K. Glik
21174,E. Cavani
21383,M. Verratti
21550,Gabriel Silva
25382,A. Lopes
25384,R. Vercoutre
25392,B. Koné
25399,M. Zeffane
25403,J. Ferri
25406,Y. Gourcuff
25407,C. Grenier
25410,A. Pléa
25411,J. Briand
25418,A. Aréola
25423,M. Biševac
25427,C. Jallet
25433,M. Bodmer
25437,B. Matuidi
25439,T. Motta
25440,J. Pastore
25444,K. Coulibaly
25457,J. Roussillon
25467,V. Nogueira
25470,S. Prcić
25474,R. Camara
25479,S. Privat
25492,T. Monconduit
25503,G. Mandjeck
25504,S. Meïté
25514,P. Ntep
25517,Y. Sanogo
25519,M. Dupé
25521,E. Zelazny
25523,K. Djidji
25524,P. Djilobodji
25526,J. Martins-Pereira
25532,V. Bessat
25534,I. Cissokho
25552,S. Mandanda
25557,J. Morel
25562,M. Amalfitano
25596,J. Plašil
25598,G. Sertic
25605,E. Sala
25616,C. Ben Saada
25625,L. Baal
25632,B. Costil
25633,A. Diallo
25637,R. Danzé
25638,D. Foulquier
25641,K. Mangane
25643,K. Théophile Catherine
25647,J. Féret
25649,Y. M'Vila
25650,V. Pajot
25673,S. Bahoken
25700,M. Debuchy
25704,F. Balmont
25710,A. Soumaoro
25714,D. Payet
25715,R. Rodelin
25716,N. Roux
25741,Y. N'Gbakoto
25743,B. Sarr
25745,A. Delort
25764,Y. Cahuzac
25770,F. Thauvin
25776,W. Khazri
25781,Y. Pelé
25784,A. Abdennour
25786,D. Congré
25789,C. M'Bengue
25791,S. Yago
25800,É. Didot
25805,F. Tabanou
25809,E. Rivière
25826,B. André
25829,P. Lasne
25835,F. Sammaritano
25845,S. Ruffier
25846,Y. Andreu
25859,I. Diomandé
25860,M. Gradel
25864,L. Perrin
25883,J. Sorbon
25889,R. Hamouma
25891,B. Nivet
25919,J. Palmieri
25923,N. de Préville
25930,M. Samassa
25937,F. Bellugou
25938,C. Charrier
25939,M. Diallo
25941,T. Giresse
25942,G. Imbula
25943,C. Kerbrat
25947,B. Sankoh
25957,K. Adénon
25988,H. Bedimo
25990,M. Deplagne
25993,Hilton
25996,M. Yanga-Mbiwa
25999,R. Cabella
26000,B. Dabo
26006,J. Tinhan
26008,S. Camara
26016,B. Lecomte
26021,S. Falette
26024,W. Lautoa
26033,Y. Jouffre
26042,K. Monnet-Paquet
26044,G. Sunu
26046,L. Bonnefoi
26055,J. Ielsch
26065,J. Martin
26068,L. Puyo
26069,H. Bazile
26085,F. Pogba
26086,I. Traoré
26093,M. Le Bihan
26100,N. Sliti
26120,T. Mangani
26124,B. Jeannot
26131,B. Samba
26134,P. Gouano
26135,M. Le Marchand
26138,J. Rivierez
26196,D. Sidibé
26216,J. Moulin
26245,A. Letellier
26265,V. Manceau
26276,N. Pallois
26285,A. Gonçalves
26311,R. Amalfitano
26314,L. Deaux
26327,I. Saadi
26332,P. Baysse
26365,B. Reynet
26368,A. Bamba
26374,C. Varrault
26378,S. Baradji
26381,B. Corgnet
26384,G. Kakuta
26389,Y. Sankharé
26399,D. Da Silva
26414,G. N'Gosso
26433,J. Cordoval
26498,K. Lala
26508,R. Cohade
26512,M. Dossevi
26528,R. Genevois
26539,P. Oniangué
26543,J. Blayac
26547,B. Ketkeophomphone
26583,R. Gurtner
26603,K. Rimane
26604,Y. Salibur
26610,D. Sakho
26633,A. Souquet
26638,K. Toko Ekambi
26665,K. Bérigaud
26676,A. Oukidja
26869,L. Butelle
26938,M. Michel
26945,M. Poundjé
26956,N. Benezet
26970,J. Bouet
26971,M. Gorgelin
27354,Júlio Tavares
27646,P. Capelle
27955,G. Laborde
27958,T. Pellenard
27959,T. Touré
28055,Q. Beunardeau
28073,S. Ngom
28115,N. Fekir
28117,R. Ghezzal
28122,Y. Benzia
28123,C. N'Jie
28230,A. Tameze
28232,I. Amadou
28251,D. Alcibiade
28314,C. Hérelle
28335,R. Aguilar
28364,M. Tahrat
28528,J. Ikoko
28529,Y. Sabaly
28866,K. Azamoum
28908,F. Guilbert
28922,T. Lemar
28948,G. Fofana
28965,O. Nguette
28990,D. Liénard
29137,J. Grimm
29291,J. Giraudon
29474,R. Thomas
29588,E. Seka
29590,E. Bourgaud
29616,P. Martinez
29641,B. Pelé
29748,F. Chafik
29843,A. Bouka Moutou
30320,O. El Hajjam
30427,J. Marié
30437,F. Mollet
37714,Y. El Ghanassy
37734,G. Gillet
37796,D. Miličević
37824,T. Meunier
37896,E. Kawashima
38015,S. Peeters
38095,S. Gakpé
38236,J. Delaplace
40301,Lucas Lima
40539,Marquinhos
40574,Dória
40765,Lucas Moura
40810,Neymar
41056,Thiago Mendes
41127,Pablo
43196,Somália
43515,Andrei Girotto
48318,Jonathan Cafu
49919,F. Moubandje
49921,V. Rüfli
50771,K. Johnsson
50812,J. Durmaz
54313,S. Ciss
54380,O. Selnæs
54819,A. Søderlund
55968,M. Braithwaite
56441,L. Lerager
69525,M. Pavlović
70088,Rolando
70093,João Moutinho
70171,E. Imorou
70711,Mexer
70959,Edgar Ié
70981,Marçal
76201,Á. Lang
82690,T. Koubek
83574,C. Tătărușanu
85438,R. Berič
86239,G. Carrillo
86338,L. Ocampos
86486,G. Poblete
86745,W. Benítez
90880,S. Mendoza
93044,S. Darbion
93331,K. Mitroglou
94695,H. Sakai
97582,M. Konaté
99453,P. Nakoulma
99511,M. Stępiński
99633,I. Lewczuk
101555,T. Hubočan
101795,L. Traoré
105523,Danilo Avelar
112377,O. Vizcarrondo
116345,F. Píriz
120717,O. Haddadi
125076,A. Oyongo
131321,C. Kouakou
131959,J. Seri
132972,G. Gope-Fenepej
134494,V. Germain
134496,M. Maignan
134512,C. Jean
134540,L. Kurzawa
134542,N. Mendy
134797,Hernani
134951,L. Lacroix
135747,D. Subašić
135901,Pedro Rebocho
135913,Rony Lopes
135937,Cafú
138577,C. Philipps
139295,R. M'Bolhi
141172,J. Aholou
142755,B. Traoré
143189,C. Ninga
144867,K. Malcuit
144884,C. Jullien
149053,R. Walter
149054,W. Saïd
149062,T. Dingomé
149076,V. Eysseric
149101,A. Touré
203113,I. Sylla
207002,B. Fernández
207061,A. Sahibeddine
207143,Fabinho
209014,F. Boulaya
209028,A. Thomasson
209086,M. Sanson
209095,A. N'Dour
209117,A. Rabiot
209207,J. Obiang
209209,F. Tait
209211,J. Nkololo
213308,J. Alonso
214609,Y. Cardinale
214628,J. Amavi
214710,B. Dibassy
215036,C. Yamberé
215130,Nuno Da Costa
215281,A. Mbengue
216614,C. Martins Pereira
217867,A. Walongwa
217872,J. Iloki
217874,A. Touré
217878,L. Diony
219350,A. Niane
222761,Afonso Figueiredo
228946,M. Cornet
228963,H. Traoré
228981,B. Bourigeaud
228983,W. Cyprien
229078,J. Prior
229110,T. Didillon
229119,N. Gandi
229124,A. Hunou
229140,Y. Bodiger
229198,H. Manzala
229427,A. Djiku
229697,Y. Bammou
231138,P. Kimpembe
233855,S. Coulibaly
234138,J. Repas
237034,Gonçalo Guedes
237267,M. Gajić
242446,L. Dubois
243931,Q. Cornette
244335,K. Dolly
244357,B. Zungu
245807,F. Bahlouli
246946,E. Skhiri
247162,Brandon
247671,N. Pépé
248632,J. Dompé
249926,A. Confais
250134,Luiz Araújo
253333,A. Blin
253784,B. Guillaume
255320,Boschilia
256084,Kwon Chang-Hoon
256480,B. Keita
256706,L. Phiri
256992,A. Fulgini
257750,Thiago Maia
258263,V. Jovanović
260002,V. Rongier
263766,Jemerson
263802,Y. Tielemans
264989,F. Mubele
266286,Marlon
266917,A. Traoré
270306,Steven Fortès
270866,Diego Carlos
273819,Xeka
274344,B. Santamaria
274345,S. Koita
274970,A. Mendy
275032,E. Crivelli
275243,S. Khaoui
276211,A. Saint-Maximin
276920,V. Vada
276944,J. Bamba
276978,A. Diakhaby
276979,F. Mendy
276983,I. Mbenza
277629,P. Lees Melou
278513,J. Tell
278867,S. Janko
278913,J. Kayembe
279734,V. Koziello
280115,M. Lopez
280116,J. Porsan-Clemente
284322,E. Ponce
285139,Nathan
285457,H. Maïga
286380,I. Diop
286381,E. Kwateng
286382,C. Michelin
286388,A. Lusamba
286506,M. Udol
286553,A. El Ghazi
286915,F. Eboa Eboa
286917,F. Touré
288423,Z. Machach
289359,Y. Aït Bennasser
290119,M. Niakhaté
292654,M. Diakhaby
294695,T. Ndombèlé
294697,H. Diallo
295569,Otávio
295761,S. Grandsir
299154,S. Moutoussamy
300485,Malcom
300784,Jorge
301013,J. Gelin
301016,R. Perraud
301017,M. Thuram
301635,B. Kamara
302908,A. Ribelin
325781,J. Lea Siliki
326946,R. Coly
328488,P. Burner
330387,M. Coco
330395,G. Hein
331913,B. Labeau
331918,D. Bahamboula
331923,K. N'Doram
334552,F. Kamano
334720,R. Bensebaini
335763,J. Sambia
338249,Gil Dias
339812,Pape Diop
339964,Y. Salmier
340920,L. Blas
341973,N. Mukiele
342088,R. Souici
342194,O. Verdon
342743,L. Tousart
343116,M. Poaty
344744,J. Ikoné
344927,S. Sy
347200,C. Nkunku
347205,W. Kanga
351851,Vagner
352986,K. Amian
352992,J. Makengo
353833,K. Mbappé
356237,G. Lo Celso
364644,A. Dioussé
364772,C. Awaziem
366401,A. Zambo Anguissa
366542,J. Reine-Adelaide
366546,L. Mothiba
366563,V. Selimovic
366571,F. Maouassa
366581,J. Gnagnon
366760,L. Coulibaly
367146,N. Janvier
372547,G. Nyamsi
372904,K. Dabila
373817,E. Massouema
374118,Q. Boisgard
375001,I. Sangaré
376908,A. Jallow
393214,V. Rosier
393228,M. Sarr
393284,C. Traoré
394006,M. Terrier
396616,R. Pierre-Gabriel
396628,N. Basin
397030,S. Nsoki
397033,B. Soumaré
397046,H. Aouar
399576,T. Stavitski
404213,A. Lafont
404216,B. Kamara
404226,M. Maolida
404227,E. Taha
405977,Jordi Mboula
406156,V. Thill
407699,D. Avounou
408052,H. Koffi
408827,B. Srarfi
410062,J. Koundé
412701,I. Sacko
413582,Y. Bissouma
413597,R. Kouamé
415917,Gabriel
421809,V. Marcel
426702,H. Mendyl
426704,L. Fournier
437011,H. Mahou
437057,D. Khalid
437636,J. Deminguet
448079,I. Sarr
449985,A. Gouiri
454388,B. Mbeumo
470517,L. Goudiaby
471589,M. Sylla
471771,I. Faraj
471774,T. Weah
472126,J. Serrano
472194,Y. Adli
477744,N. Cozza
481329,P. Pellegri
482491,Z. Youssouf
487983,D. Lempereur
489202,Y. Sari
493412,Y. Armougom
493415,K. Zohi
497355,W. Geubbels
498357,I. Niane
499295,T. Carrique
521939,I. Ganago
566942,E. Loiodice
