team_id,team_name_short,team_name
3157,Milan,AC Milan
3158,Roma,AS Roma
3159,Juventus,Juventus FC
3161,Internazionale,FC Internazionale Milano
3162,Lazio,SS Lazio
3163,Udinese,Udinese Calcio
3164,Sampdoria,UC Sampdoria
3165,Chievo,AC Chievo Verona
3166,Bologna,Bologna FC 1909
3172,Atalanta,Atalanta Bergamasca Calcio
3173,Cagliari,Cagliari Calcio
3176,Fiorentina,ACF Fiorentina
3185,Torino,Torino FC
3187,Napoli,SSC Napoli
3193,Genoa,Genoa CFC
3194,Hellas Verona,Hellas Verona FC
3197,Crotone,FC Crotone
3204,SPAL,Societ\u00e0 Polisportiva Ars et Labor 2013
3219,Benevento,Benevento Calcio
3315,Sassuolo,US Sassuolo Calcio
