player_id,nickname
77,N. Moisander
91,C. Benschop
110,J. Willems
159,J. Gouweleeuw
1722,V. Fischer
1729,R. Bazoer
3281,Juan Bernat
3320,N. Şahin
3335,Bartra
3345,Thiago Alcântara
3416,Javi Martínez
3460,Coke
3535,J. de Guzmán
3566,Camacho
3708,Jairo Samperio
4509,Omar Mascarell
6292,K. Kodro
6950,Pablo Ínsua
7904,S. Kalou
8309,K. Rekik
8315,N. de Jong
8537,Dong-Won Ji
8628,F. Di Santo
9611,P. Gulácsi
11095,M. Veljkovic
14687,S. Papastathopoulos
14689,Naldo
14692,P. Bargfrede
14696,Z. Junuzović
14705,N. Füllkrug
14706,A. Hunt
14707,C. Pizarro
14712,M. Neuer
14715,H. Badstuber
14716,J. Boateng
14718,Rafinha
14724,D. Alaba
14726,F. Ribéry
14727,A. Robben
14731,M. Gómez
14732,T. Müller
14734,N. Petersen
14736,S. Ulreich
14749,G. Sakai
14754,C. Gentner
14758,I. Traoré
14760,M. Harnik
14762,V. Ibišević
14764,J. Schieber
14766,R. Adler
14768,B. Leno
14770,G. Castro
14772,D. da Costa
14775,B. Oczipka
14778,Ö. Toprak
14781,L. Bender
14786,K. Bellarabi
14788,S. Kießling
14789,A. Schürrle
14794,R. Weidenfeller
14795,M. Hummels
14798,Ł. Piszczek
14800,M. Schmelzer
14801,N. Subotić
14802,M. Bakalorz
14803,S. Bender
14804,J. Błaszczykowski
14806,M. Götze
14816,S. Kagawa
14817,R. Lewandowski
14821,M. Esser
14822,A. Luthe
14838,C. Kramer
14842,K. Vogt
14845,D. Ginczek
14847,R. Fährmann
14857,K. Papadopoulos
14863,M. Höger
14864,L. Holtby
14885,D. Aogo
14887,J. Bruma
14888,D. Diekmeier
14900,G. Kačar
14905,P. Skjelbred
14914,M. Hitz
14917,R. Knoche
14923,M. Russ
14929,M. Hasebe
14932,S. Medojević
14938,M. Arnold
14979,O. Baumann
14988,O. Sorg
14989,D. Caligiuri
14991,M. Ginter
14992,K. Guédé
14997,J. Schmid
14998,J. Schuster
15012,H. Nordtveit
15014,O. Wendt
15015,M. Zimmermann
15018,P. Herrmann
15019,T. Jantschke
15020,M. Leckie
15024,M. Reus
15032,R. Zieler
15039,K. Rausch
15050,M. Schmiedebach
15051,L. Stindl
15061,T. Sippel
15069,W. Orban
15085,S. Wagner
15090,T. Kraft
15095,C. Janker
15103,F. Lustenberger
15107,Raffael
15122,D. Maroh
15125,M. Plattenhardt
15129,D. Didavi
15131,M. Frantz
15139,T. Chandler
15141,A. Esswein
15178,S. Bell
15188,J. Baumgartlinger
15191,Y. Mallı
15192,N. Müller
15193,E. Polanski
15194,M. Risse
15200,Á. Szalai
15201,A. Ujah
15225,S. Maier
15231,K. Volland
15232,B. Wood
15244,S. Jung
15253,M. Lehmann
15254,A. Meier
15256,P. Schwegler
15265,T. Horn
15276,M. Weiser
15278,C. Clemens
15292,M. Uth
15317,L. Bittencourt
15399,D. Brosinski
15430,N. Höfler
15449,M. Mavraj
15456,F. Klaus
15487,J. Haberer
15503,F. Niederlechner
15533,M. Terrazzino
15543,S. Zoller
15695,M. Heller
15719,B. Hübner
15771,S. Langkamp
15772,M. Ostrzolek
15775,P. Verhaegh
15777,D. Baier
15781,Ja-Cheol Koo
15782,J. Morávek
15795,K. Casteels
15797,T. Starke
15798,A. Beck
15800,M. Compper
15804,F. Johnson
15806,J. Vestergaard
15810,D. Kaiser
15811,S. Rudy
15812,S. Salihović
15813,T. Strobl
15821,S. Schipplock
15877,A. Hahn
15937,D. Demme
15942,L. Rupp
15952,E. Bičakčić
16010,P. Tschauner
16025,M. Kruse
16027,F. Bartels
16094,S. Terodde
16110,K. Kampl
16303,D. Latza
16411,R. Özcan
16432,Caiuby
16443,L. Balogun
16609,D. Blum
16826,R. Khedira
16843,D. Heintz
16884,J. Korb
17136,J. Gondorf
18544,B. Schmitz
18579,M. Halstenberg
18581,F. Hübner
18591,J. Hofmann
18669,J. Hector
18670,L. Kübler
18704,C. Mathenia
18728,S. Parker
18974,J. Brooks
18982,N. Schulz
19392,M. Philipp
19525,A. Schwolow
19720,M. Gulde
20402,K. Boateng
20475,A. Vidal
20591,G. Fernandes
20680,F. Sørensen
20692,I. Belfodil
20704,L. Caldirola
20728,Jonathas
20876,A. Ekdal
20932,M. Nastasić
21469,G. Donati
25512,S. Haller
25514,P. Ntep
25589,L. Sané
25622,T. Hazard
25861,J. Guilavogui
25867,P. Aubameyang
25871,Y. Ravet
25995,B. Stambouli
26021,S. Falette
26115,S. Sané
28907,Raphaël Guerreiro
32959,P. Pekarík
35477,J. Pohjanpalo
37948,A. Finnbogason
38079,D. Opare
38082,Felipe
38093,M. Batshuayi
40657,Wendell
49855,Y. Sommer
49856,D. Abraham
49859,A. Dragović
49869,F. Frei
49873,V. Stocker
49883,Y. Mvogo
49907,R. Bobadilla
49968,R. Bürki
49982,A. Abrashi
49992,I. Hajrović
49997,S. Zuber
50023,J. Drmic
50800,Miiko Albornoz
51013,R. Quaison
51132,E. Forsberg
51217,L. Augustinsson
51689,B. Hrgota
54579,R. Jarstein
55951,L. Hradecky
55990,T. Delaney
56274,Y. Poulsen
56424,A. Jóhannsson
64995,G. Burgstaller
65027,S. Ilsanker
65055,F. Kainz
65075,M. Hinteregger
65180,M. Gregoritsch
65207,R. Zulj
65596,M. Sabitzer
65880,André Ramalho
66654,K. Onisiwo
69411,A. Kramarić
69616,A. Rebić
70096,J. Rodríguez
70139,E. Insúa
70975,Bruma
82340,T. Gebre Selassie
82487,P. Kadeřábek
82518,V. Darida
83836,A. Maxim
86489,L. Alario
86517,P. De Blasis
89559,C. Aránguiz
91519,J. Córdoba
92947,K. Stafylidis
94650,G. Haraguchi
94764,Y. Muto
94831,Y. Ōsako
97555,T. Tawatha
99410,M. Kamiński
99437,P. Olkowski
99749,R. Gikiewicz
105378,Y. Konoplyanka
105619,A. Mehmedi
105622,A. Yarmolenko
112253,M. Fabián
127685,M. Jojić
127796,F. Kostić
134369,M. Meyer
134383,N. Süle
134387,L. Goretzka
134392,K. Akpoguma
134397,S. Gnabry
134399,D. Selke
134708,D. Origi
135561,F. Grillitsch
135788,J. Elez
135810,M. Pjaca
136011,M. Gaćinović
143566,Douglas Santos
144766,N. Bentaleb
145014,O. Bulut
145030,C. Stanko
146569,M. Kempf
146583,J. Brandt
149091,M. Tisserand
149389,J. Toljan
165425,D. Kohr
165431,K. Karaman
173212,N. Stark
173213,M. Stendera
173214,T. Werner
208089,I. Fossum
208652,V. Lazaro
208716,A. Schöpf
209091,C. Tolisso
212604,T. Jedvaj
216074,C. Günter
216077,A. Baba
217052,R. Steffen
218896,O. Duda
221172,A. Hack
221333,K. Demirbay
221376,M. Steinmann
221411,P. Max
221443,M. Gouaida
221452,V. Grifo
222798,R. Zentner
223516,R. Bauer
223546,O. Wriedt
223560,L. Öztunali
224593,J. Kimmich
224677,J. Weigl
224680,M. Wolf
224801,I. Bebou
224896,G. Holtmann
224965,R. Framberger
224971,E. Thommy
228639,Y. Gerhardt
228765,T. Kleindienst
228768,J. Tah
228980,J. Gbamin
230687,E. Berggreen
231139,K. Coman
233910,A. Donis
235450,A. Diallo
235597,T. Baumgartl
235606,T. Kehrer
236528,N. Elvedi
239191,M. Rashica
241957,J. Pollersbeck
241966,G. Jung
253822,J. Pavlenka
254649,T. Asano
255387,C. Salcedo
255732,P. Lienhart
256776,A. Grgic
258252,L. Klostermann
258253,B. Henrichs
258254,L. Waldschmidt
258264,L. Jović
263490,S. Guirassy
263614,N. Amiri
266532,E. Ofori
269189,B. Kapustka
269490,F. Kath
271990,L. Höler
272234,M. Dräger
272338,L. Klünter
272363,M. Dahoud
272378,P. Stenzel
272434,W. Anton
272435,T. Hübers
272436,N. Sarenren-Bazee
272440,M. Eggestein
275121,J. Torunarigha
275384,Jorge Meré
279721,K. Hinds
279734,V. Koziello
279780,J. Augustin
282194,L. Bénes
282772,B. Embolo
282799,S. Posch
282804,K. Laimer
284469,J. Brekalo
284524,J. Horn
284580,Ailton
285727,L. Dimata
286404,O. Käuper
286823,M. Egbo
289711,N. Keïta
296341,Bernardo
297701,P. Ochs
297957,M. Akanji
302600,S. Serdar
327009,Walace
328131,C. Akolo
329202,U. Garcia
333477,A. Nübel
336829,R. Koch
337647,F. Müller
337656,T. Knöll
337682,F. Uduokhai
337732,C. Teuchert
337775,F. Reese
337799,A. Ouahim
337890,M. Mittelstädt
337903,E. Rexhbecaj
337960,M. Richter
340476,R. Oxford
340646,B. Pavard
343685,William
343729,R. Kent
344178,P. Retsos
344864,C. Söyüncü
345707,B. Özcan
347366,J. Bruun Larsen
349099,O. Mangala
352988,D. Upamecano
354997,S. Córdova
356903,S. Özcan
356906,F. Passlack
356908,D. Burnic
356928,T. Handwerker
360992,D. Zakaria
363648,J. Villalba
365441,R. van Drongelen
365880,D. Kamada
366193,B. Risa
366203,J. Eggestein
366217,K. Danso
367620,N. Dorsch
367621,D. Geiger
372316,M. Benger
372915,A. Harit
373350,R. Hack
373636,V. Sierro
382289,F. Kusič
388267,L. Bailey
391387,A. Barkok
391425,R. Baku
391439,M. Shabani
391441,M. Friedl
391449,K. Jakob
391530,C. Pulisic
391551,F. Mayer
391603,S. Ambrosius
391606,T. Ito
391643,P. Jaeckel
393247,I. Konaté
397028,D. Zagadou
399599,A. Isak
403273,V. Osimhen
404219,M. Cuisance
406682,A. Lookman
413737,S. Ascacíbar
425923,G. Itter
425925,K. Havertz
425926,A. Maier
433100,L. Mai
444439,V. Janjičić
447223,J. Sancho
448127,C. Führich
448215,L. Maina
448246,P. Dárdai
449921,B. Jatta
471348,W. McKennie
471947,F. Evina
471968,N. Nartey
472696,Sergio Gómez
476054,M. Ćavar
491365,J. Arp
493725,S. Asta
503185,J. Vagnoman
520617,Y. Bisseck
