player_id,nickname
36,T. Alderweireld
38,D. Blind
48,J. Vertonghen
54,C. Eriksen
56,D. Klaassen
74,R. Klavan
93,J. Guðmunds­son
107,E. Pieters
116,G. Wijnaldum
120,J. Locadia
132,T. Kongolo
134,B. Martins Indi
160,D. Janmaat
173,R. van La Parra
179,L. Narsingh
261,N. Chadli
262,L. Fer
284,M. van der Hoorn
340,Cuco Martina
370,V. van Dijk
383,D. Tadić
454,P. van Aanholt
466,D. Pröpper
471,W. Bony
703,M. Yoshida
3278,Bruno Saltor
3319,M. Özil
3324,Álvaro Morata
3326,Jesé Rodríguez
3327,Joselu
3343,I. Afellay
3348,Deulofeu
3350,Fàbregas
3351,Kiko Femenía
3360,Pedro
3361,A. Sánchez
3413,Ander Herrera
3424,Fernando Llorente
3429,T. Courtois
3436,Javi Manquillo
3523,F. Lejeune
3551,W. Caballero
3557,Jesús Gámez
3560,Nacho Monreal
3577,S. Rondón
3582,Adrián
3657,T. Hemed
3662,C. Bravo
3802,Philippe Coutinho
3928,Vicente Iborra
4255,L. Ulloa
4365,Roque Mesa
4908,Alberto Moreno
5281,A. Nyom
5911,Sandro
7847,Ł. Fabiański
7853,K. Gibbs
7855,L. Koscielny
7856,P. Mertesacker
7864,F. Coquelin
7868,A. Oxlade-Chamberlain
7870,A. Ramsey
7873,J. Wilshere
7879,T. Walcott
7882,P. Čech
7885,R. Bertrand
7887,G. Cahill
7888,N. Chalobah
7892,David Luiz
7899,Oriol Romeu
7905,R. Lukaku
7906,Juan Mata
7907,D. Sturridge
7910,David de Gea
7914,J. Evans
7915,P. Evra
7918,P. Jones
7919,M. Keane
7922,C. Smalling
7928,M. Carrick
7929,T. Cleverley
7932,D. Fletcher
7934,J. Lingard
7936,P. Pogba
7938,A. Valencia
7939,A. Young
7941,J. Hernández
7944,W. Rooney
7945,D. Welbeck
7957,G. Johnson
7958,M. Kelly
7961,C. Adam
7964,J. Henderson
7967,J. Shelvey
7970,A. Carroll
7974,R. Elliot
7978,P. Dummett
7988,Y. Cabaye
7989,D. Gosling
8004,C. Clark
8005,J. Collins
8013,M. Albrighton
8017,S. Ireland
8032,Marcos Alonso
8049,Lee Chung-Yong
8066,B. Hamer
8086,D. Stephens
8094,J. Butland
8096,G. Myhill
8116,N. Redmond
8125,J. Cork
8126,José Fonte
8135,L. Shaw
8136,J. Stephens
8140,A. Lallana
8142,J. Puncheon
8143,M. Schneiderlin
8144,J. Ward-Prowse
8186,S. Dann
8192,M. Olsson
8221,J. Ward
8239,L. Baines
8240,S. Coleman
8242,S. Duffy
8245,P. Jagielka
8246,R. Barkley
8249,M. Fellaini
8266,Gomes
8272,Y. Kaboul
8277,K. Walker
8284,A. Lennon
8285,J. Livermore
8290,A. Pritchard
8292,D. Rose
8296,J. Defoe
8301,J. Hart
8307,V. Kompany
8313,P. Zabaleta
8314,G. Barry
8317,David Silva
8319,J. Milner
8324,Y. Touré
8325,S. Agüero
8336,K. Naughton
8351,A. Surman
8358,B. Foster
8360,C. Dawson
8362,G. McAuley
8370,C. Brunt
8374,J. Morrison
8384,S. Long
8391,J. Speroni
8392,N. Clyne
8416,G. Murray
8422,W. Zaha
8425,W. Hennessey
8433,S. Ward
8460,A. Smith
8464,F. Delph
8471,A. Townsend
8480,K. Schmeichel
8488,W. Morgan
8495,D. Drinkwater
8498,A. King
8501,J. Schlupp
8514,S. Mignolet
8516,P. Bardsley
8530,J. McClean
8553,W. Reid
8554,J. Tomkins
8561,M. Noble
8566,S. Baldock
8580,A. McCarthy
8582,A. Cresswell
8583,D. Delaney
8620,M. Diamé
8623,J. McArthur
8624,J. McCarthy
8625,V. Moses
8627,B. Watson
8643,M. Lowton
8653,H. Maguire
8677,M. Antonio
8686,H. Robson-Kanu
8717,H. Kane
8726,A. Begović
8731,R. Shawcross
8745,D. Whitehead
8747,P. Crouch
8752,J. Walters
8761,M. Cranie
8826,K. Darlow
8833,J. Lascelles
8889,A. Mariappa
8897,J. Hogg
8903,T. Deeney
8925,A. Westwood
8935,L. Grant
8944,B. Mee
8945,K. Trippier
8953,C. Austin
8955,D. Ings
8958,J. Rodriguez
8959,J. Stanislas
8976,T. Carroll
8980,J. Hendrick
8981,W. Hughes
8992,P. Gazzaniga
9097,L. Dunk
9123,A. Barnes
9127,S. Vokes
9164,C. Taylor
9179,N. Wells
9194,Y. Bolasie
9206,C. Wood
9227,M. Ritchie
9277,S. Cook
9279,S. Francis
9280,S. Malone
9283,H. Arter
9285,C. Daniels
9293,M. Pugh
9380,J. Stones
9403,C. Cathcart
9414,M. Phillips
9419,T. Ince
9433,J. Tarkowski
9532,S. Berahino
9622,L. Rosenior
9623,R. Brady
9637,J. King
9739,J. Ibe
10108,K. Long
10131,J. Pickford
10252,S. Clucas
10663,A. Gray
11066,R. Sterling
11078,T. Smith
11152,M. Dembélé
11294,S. Arfield
11669,C. Wilson
12242,N. Pope
12536,D. Gayle
12829,J. Vardy
13451,C. Goldson
13484,D. Alli
13745,F. Ladapo
14688,S. Prödl
14703,M. Arnautović
14748,A. Rüdiger
14763,S. Okazaki
14796,C. Löwe
14808,İ. Gündoğan
14853,C. Fuchs
14869,S. Kolašinac
14870,J. Matip
14886,M. Bešić
14911,Son Heung-Min
15054,M. Diouf
15175,L. Karius
15198,E. Choupo-Moting
15215,C. Schindler
15301,U. Hünemeier
15474,M. Hefele
15526,P. Groß
15808,Roberto Firmino
15823,D. Williams
16122,E. Kachunga
16436,C. Quaner
18550,E. Can
20420,Z. Ibrahimović
20441,E. Lamela
20450,Bojan
20505,S. Okaka
20593,R. Pereyra
20606,S. Romero
20612,S. Mustafi
20620,Pedro Obiang
20855,E. Schelotto
20857,M. Gabbiadini
21095,M. Darmian
21100,A. Ogbonna
21160,M. Britos
21164,F. Fernández
21333,Y. Benalouane
22889,D. Zappacosta
25381,H. Lloris
25393,D. Lovren
25413,A. Lacazette
25415,J. Pied
25430,M. Sakho
25537,G. Krychowiak
25553,Azpilicueta
25571,J. Ayew
25572,A. Ayew
25604,H. Saivet
25662,D. Ospina
25703,P. Souaré
25706,I. Gueye
25707,E. Hazard
25747,S. Mané
25785,S. Aurier
25798,E. Capoue
25804,M. Sissoko
25854,K. Zouma
25865,B. Sako
25867,P. Aubameyang
25885,M. Wagué
25950,A. Knockaert
26010,O. Giroud
26109,M. Haïdara
26136,B. Mendy
26150,R. Mahrez
26495,G. Bong
26499,A. Masuaku
26610,D. Sakho
28291,T. Bakayoko
28292,A. Doucouré
29640,M. Lemina
31528,N. Kanté
32636,C. Tosun
32968,N. Amrabat
37725,C. Kouyaté
37726,C. Mbemba
38021,K. De Bruyne
38031,C. Benteke
38093,M. Batshuayi
38377,L. Depoitre
40765,Lucas Moura
40787,Emerson
41174,M. Lanzini
49859,A. Dragović
49872,X. Shaqiri
49876,G. Xhaka
49971,M. Bauer
55224,A. Sørloth
55979,M. Jørgensen
56038,J. Lössl
58978,G. Cameron
61390,M. Ryan
61941,F. Forster
61961,B. Kayal
61962,Sung-Yeung Ki
61967,V. Wanyama
61979,K. Bartley
61988,S. Davis
62091,J. Murphy
62224,R. Fraser
62344,J. Fulton
62389,A. Mooy
64966,M. Suttner
65254,K. Wimmer
68085,C. Kabasele
70083,Danilo
70085,E. Mangala
70086,N. Otamendi
70092,S. Defour
70122,N. Matić
70156,A. Carrillo
70215,C. Atsu
70389,Cédric Soares
70403,Adrien Silva
70965,João Mário
71654,Ederson
71703,V. Lindelöf
77502,T. Heaton
77536,M. Vorm
77541,Àngel Rangel
77546,A. Williams
77548,J. Allen
77550,L. Britton
77552,N. Dyer
77557,W. Routledge
77558,G. Sigurðsson
86239,G. Carrillo
86308,C. Yacob
86325,Ramiro Funes Mori
91381,J. Izquierdo
92864,O. Karnezis
92899,J. Holebas
92922,K. Mirallas
92947,K. Stafylidis
93084,E. Jakupovic
101652,M. Rojo
104851,M. Dúbravka
105333,Willian
105338,H. Mkhitaryan
105339,Fernandinho
119630,I. Slimani
119951,Ahmed Hegazy
120339,Mohamed Elneny
120353,Mohamed Salah
127537,L. Milivojević
128214,A. Mitrović
134102,N. Aké
134294,I. Hayden
134351,B. Afobe
134502,A. Laporte
134513,A. Martial
134708,D. Origi
135103,A. Christensen
135114,P. Højbjerg
136441,B. Davies
145692,O. Niasse
149019,D. Simpson
167145,Bellerín
171283,C. Chambers
189821,M. Zeegelaar
192748,M. James
207164,B. N'Diaye
210044,E. Dier
212651,C. Musonda
214654,S. Mounié
215983,S. Boufal
217078,D. Amartey
222220,A. Robertson
224206,S. Byram
227756,J. Boga
230020,A. Iwobi
230883,Ayoze Pérez
234408,J. Sinclair
235555,R. Loftus-Cheek
237268,M. Grujić
239411,T. Mings
240032,J. Bednarek
240070,H. Winks
240559,J. Riedewald
241564,O. Zinchenko
245364,L. Sané
245813,L. Mousset
246866,A. Mawson
247248,S. March
252365,D. Yedlin
254898,Kenedy
255935,I. Brown
256998,E. Bailly
257762,D. Sánchez
257899,J. Gomez
258162,Renato Sanches
259531,E. Hyndman
265318,E. Fernandes
265366,W. Ndidi
265673,Bernardo Silva
268776,W. Hoedt
269676,V. Janssen
270828,G. N'Koudou
274488,J. Lolley
277002,F. Diabaté
279709,K. Palmer
279717,A. Maitland-Niles
280157,J. Hugill
281135,M. Targett
282550,F. Hadergjonaj
283142,D. Gray
284476,N. Vlašić
285508,K. Iheanacho
286825,J. Kenny
286831,D. Solanke
288865,O. McBurnie
291528,D. Lukebakio
293686,J. Murphy
293687,D. Calvert-Lewin
297258,S. Kaikai
297733,S. McQueen
302518,L. Cook
302520,J. Sims
303357,P. Billing
332605,Ramadan Sobhi
337225,R. Aarons
339789,Mikel Merino
340386,Gabriel Jesus
340476,R. Oxford
343951,T. Abraham
346071,O. Burke
346101,T. Alexander-Arnold
346158,E. Nketiah
346159,J. Willock
350976,B. Chilwell
351808,B. Woodburn
353236,T. Davies
353241,L. Nmecha
355937,M. Holgate
365707,J. Cullen
370224,R. Holding
377071,Richarlison
379209,D. Rice
386197,C. Roberts
397098,R. Nelson
397163,A. Tuanzebe
397168,T. Fosu-Mensah
397174,S. McTominay
397178,M. Rashford
399514,T. Campbell
399564,L. Sørensen
402884,K. Walker-Peters
404397,Brahim Diaz
406682,A. Lookman
413002,K. Mavropanos
415747,J. Simpson
415748,J. Tymon
419784,H. Choudhury
423162,E. Ampadu
434159,S. Field
442211,A. Sabiri
447205,P. Foden
447254,R. Harper
447379,B. Baningime
447538,M. Obafemi
447812,T. Edwards
448038,J. Ngoy
448708,H. Barnes
450826,C. Hudson-Odoi
486252,A. Wan-Bissaka
531655,L. Lumeka
532949,D. McNeil
