team_id,team_name_short,team_name
1609,Arsenal,Arsenal FC
1610,Chelsea,Chelsea FC
1611,Manchester United,Manchester United FC
1612,Liverpool,Liverpool FC
1613,Newcastle United,Newcastle United FC
1619,Southampton,Southampton FC
1623,Everton,Everton FC
1624,Tottenham Hotspur,Tottenham Hotspur FC
1625,Manchester City,Manchester City FC
1627,West Bromwich Albion,West Bromwich Albion FC
1628,Crystal Palace,Crystal Palace FC
1631,Leicester City,Leicester City FC
1633,West Ham United,West Ham United FC
1639,Stoke City,Stoke City FC
1644,Watford,Watford FC
1646,Burnley,Burnley FC
1651,Brighton & Hove Albion,Brighton & Hove Albion FC
1659,AFC Bournemouth,AFC Bournemouth
1673,Huddersfield Town,Huddersfield Town FC
10531,Swansea City,Swansea City AFC
