player_id,nickname
45,G. van der Wiel
114,K. Strootman
122,D. Mertens
130,S. de Vrij
174,F. Đuričić
192,J. Vuković
394,B. Nuytinck
625,M. de Roon
658,S. Armenteros
3300,Albiol
3313,José Callejón
3318,S. Khedira
3323,G. Higuaín
3344,Rafinha
3431,João Miranda
3463,F. Fazio
3475,D. Perotti
3484,Luis Alberto
3526,M. Musacchio
3531,C. Zapata
3543,Borja Valero
3548,G. Rossi
3710,K. Babacar
3736,F. Zuculini
3795,H. Moreno
3885,L. Cabrera
4792,Patric
7849,W. Szczęsny
7858,B. Sagna
7926,Nani
7949,Pepe Reina
7965,Lucas Leiva
7982,D. Santon
8148,Iago Falqué
8291,Sandro
8306,A. Kolarov
8327,E. Džeko
9080,A. Taarabt
10113,A. Benali
11063,Suso
11156,M. Trotta
14745,C. Molinaro
14812,I. Perišić
14855,B. Höwedes
14903,T. Rincón
14904,J. Sala
14922,R. Rodríguez
14943,M. Mandžukić
15524,H. Çalhanoğlu
16922,O. Kragl
20390,I. Abate
20395,M. De Sciglio
20403,S. Calvano
20404,B. Cristante
20414,M. Valoti
20418,S. El Shaarawy
20422,Maxi López
20429,N. Burdisso
20434,A. Rosi
20438,D. De Rossi
20443,M. Pjanić
20446,V. Verre
20448,F. Viviani
20449,F. Borini
20455,G. Buffon
20458,A. Barzagli
20459,L. Bonucci
20460,M. Cáceres
20461,G. Chiellini
20465,S. Lichtsteiner
20468,E. Giaccherini
20470,C. Marchisio
20472,S. Padoin
20476,M. Borriello
20478,A. Matri
20479,F. Quagliarella
20483,A. Mirante
20495,M. Gobbi
20503,S. Floccari
20506,R. Palladino
20512,M. Bianchetti
20516,D. Faraoni
20517,Y. Nagatomo
20518,Juan Jesus
20519,A. Ranocchia
20523,R. Álvarez
20525,J. Obi
20526,L. Crisetig
20529,A. Poli
20536,G. Pazzini
20540,A. Bizzarri
20550,Ş. Radu
20556,A. Candreva
20561,S. Lulić
20571,S. Handanovič
20575,D. Basta
20579,M. Benatia
20583,Danilo
20588,K. Asamoah
20604,Angelo da Costa
20609,A. Costa
20626,Eder
20632,C. Puggioni
20633,S. Sorrentino
20635,F. Acerbi
20636,M. Andreolli
20637,B. Cesar
